Round,Selected Prices,Buyer Valuations,Purchases,Rewards,Revenue,Remaining Inventory
12,"{0: 0.6, 1: 0.3, 2: 0.2, 3: 0.3, 4: 0.3, 5: 0.3, 6: 0.6, 7: 0.4, 8: 0.5, 9: 0.3}","{0: 0.5515640742141125, 1: 0.43807760323143274, 2: 0.5642588087647996, 3: 0.6711845330690244, 4: 0.5388807332257303, 5: 0.5868384607058654, 6: 0.6468817131441253, 7: 0.6434711598876727, 8: 0.6178575687439152, 9: 0.7255646867412626}","{0: False, 1: True, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True, 9: True}","{0: 0.0, 1: 0.3, 2: 0.2, 3: 0.3, 4: 0.3, 5: 0.3, 6: 0.6, 7: 0.4, 8: 0.5, 9: 0.3}",3.2,387
13,"{0: 0.6, 1: 0.6, 2: 0.4, 3: 0.5, 4: 0.3, 5: 0.6, 6: 0.4, 7: 0.6, 8: 0.4, 9: 0.5}","{0: 0.42129410772329234, 1: 0.3737329681571505, 2: 0.519290593797025, 3: 0.42472090260664364, 4: 0.46987018509047906, 5: 0.5487388154465538, 6: 0.4686094324336799, 7: 0.5636153386628915, 8: 0.6396891733241139, 9: 0.5160475675592384}","{0: False, 1: False, 2: True, 3: False, 4: True, 5: False, 6: True, 7: False, 8: True, 9: True}","{0: 0.0, 1: 0.0, 2: 0.4, 3: 0.0, 4: 0.3, 5: 0.0, 6: 0.4, 7: 0.0, 8: 0.4, 9: 0.5}",2.0,382
14,"{0: 0.5, 1: 0.4, 2: 0.3, 3: 0.4, 4: 0.6, 5: 0.4, 6: 0.4, 7: 0.2, 8: 0.6, 9: 0.5}","{0: 0.380272859313136, 1: 0.4267742365007311, 2: 0.34623993067911235, 3: 0.3624690088799534, 4: 0.47499329112616295, 5: 0.48414981981812816, 6: 0.5022296019849135, 7: 0.5274317432536194, 8: 0.4965124700109968, 9: 0.5625307642591224}","{0: False, 1: True, 2: True, 3: False, 4: False, 5: True, 6: True, 7: True, 8: False, 9: True}","{0: 0.0, 1: 0.4, 2: 0.3, 3: 0.0, 4: 0.0, 5: 0.4, 6: 0.4, 7: 0.2, 8: 0.0, 9: 0.5}",2.2,376
15,"{0: 0.4, 1: 0.2, 2: 0.6, 3: 0.5, 4: 0.3, 5: 0.6, 6: 0.6, 7: 0.5, 8: 0.2, 9: 0.6}","{0: 0.2582054711715319, 1: 0.4035408255230242, 2: 0.3502728039043119, 3: 0.28334504089152623, 4: 0.3920669540762863, 5: 0.3268342480261648, 6: 0.4312516196175896, 7: 0.4661562262737734, 8: 0.38352138929875373, 9: 0.48905336957149154}","{0: False, 1: True, 2: False, 3: False, 4: True, 5: False, 6: False, 7: False, 8: True, 9: False}","{0: 0.0, 1: 0.2, 2: 0.0, 3: 0.0, 4: 0.3, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.2, 9: 0.0}",0.7,373
16,"{0: 0.6, 1: 0.3, 2: 0.2, 3: 0.3, 4: 0.3, 5: 0.5, 6: 0.2, 7: 0.5, 8: 0.4, 9: 0.4}","{0: 0.2695229643435932, 1: 0.3359496030512254, 2: 0.24153054569304389, 3: 0.22880314084997225, 4: 0.23470422516122996, 5: 0.25107942996889354, 6: 0.30070485632111965, 7: 0.33430753810731645, 8: 0.34377447690764457, 9: 0.3839890969676042}","{0: False, 1: True, 2: True, 3: False, 4: False, 5: False, 6: True, 7: False, 8: False, 9: False}","{0: 0.0, 1: 0.3, 2: 0.2, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.2, 7: 0.0, 8: 0.0, 9: 0.0}",0.7,370
17,"{0: 0.3, 1: 0.6, 2: 0.6, 3: 0.4, 4: 0.6, 5: 0.2, 6: 0.3, 7: 0.5, 8: 0.5, 9: 0.6}","{0: 0.22663254184472953, 1: 0.14927609843534717, 2: 0.30707050053710727, 3: 0.21089851170625795, 4: 0.1453103686075748, 5: 0.14317672363571463, 6: 0.22939807141131083, 7: 0.20265441349324034, 8: 0.2580806795745188, 9: 0.25459563820897274}","{0: False, 1: False, 2: False, 3: False, 4: False, 5: False, 6: False, 7: False, 8: False, 9: False}","{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0}",0.0,370
18,"{0: 0.6, 1: 0.5, 2: 0.5, 3: 0.4, 4: 0.2, 5: 0.2, 6: 0.4, 7: 0.2, 8: 0.3, 9: 0.2}","{0: 0.06520250080117851, 1: 0.03777439139833877, 2: 0.09716557095731422, 3: 0.16828582420487215, 4: 0.142145137623242, 5: 0.07512807740916565, 6: 0.15204862856535742, 7: 0.16863001718727344, 8: 0.11114584231880817, 9: 0.1689995353541745}","{0: False, 1: False, 2: False, 3: False, 4: False, 5: False, 6: False, 7: False, 8: False, 9: False}","{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0}",0.0,370
19,"{0: 0.3, 1: 0.4, 2: 0.3, 3: 0.2, 4: 0.4, 5: 0.2, 6: 0.6, 7: 0.3, 8: 0.6, 9: 0.3}","{0: 0.03084791361312842, 1: 0.11077448699455483, 2: 0.1258130357680335, 3: 0.1568150620808667, 4: 0.16024129299632908, 5: 0.04355641246921045, 6: 0.07043731934378995, 7: 0.1479690251724602, 8: 0.15279524983011872, 9: 0.15774702707229177}","{0: False, 1: False, 2: False, 3: False, 4: False, 5: False, 6: False, 7: False, 8: False, 9: False}","{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0}",0.0,370
20,"{0: 0.5, 1: 0.6, 2: 0.3, 3: 0.3, 4: 0.2, 5: 0.6, 6: 0.5, 7: 0.6, 8: 0.4, 9: 0.3}","{0: 0.2632852320638003, 1: 0.304560138900902, 2: 0.30852309542926226, 3: 0.3064337201826222, 4: 0.27114184574804506, 5: 0.3378949193674558, 6: 0.274346347978644, 7: 0.31418782873125223, 8: 0.31480173203952755, 9: 0.356204766763029}","{0: False, 1: False, 2: True, 3: True, 4: True, 5: False, 6: False, 7: False, 8: False, 9: True}","{0: 0.0, 1: 0.0, 2: 0.3, 3: 0.3, 4: 0.2, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.3}",1.1,366
21,"{0: 0.5, 1: 0.2, 2: 0.6, 3: 0.2, 4: 0.5, 5: 0.2, 6: 0.6, 7: 0.3, 8: 0.6, 9: 0.4}","{0: 0.09488499782290377, 1: 0.23301950349635525, 2: 0.1285289369432854, 3: 0.1960263737384347, 4: 0.28452873340141305, 5: 0.2437534410329563, 6: 0.19711043770685627, 7: 0.22569072766546153, 8: 0.30589403710033214, 9: 0.2458540545928799}","{0: False, 1: True, 2: False, 3: False, 4: False, 5: True, 6: False, 7: False, 8: False, 9: False}","{0: 0.0, 1: 0.2, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.2, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0}",0.4,364
22,"{0: 0.3, 1: 0.5, 2: 0.5, 3: 0.3, 4: 0.6, 5: 0.4, 6: 0.5, 7: 0.6, 8: 0.5, 9: 0.2}","{0: 0.14075199941782487, 1: 0.11358635712137856, 2: 0.2610565460469709, 3: 0.19324825977564045, 4: 0.06798814640589476, 5: 0.18626095855628172, 6: 0.1515418866584262, 7: 0.23494584371569205, 8: 0.16039110713328097, 9: 0.20197328906060633}","{0: False, 1: False, 2: False, 3: False, 4: False, 5: False, 6: False, 7: False, 8: False, 9: True}","{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.2}",0.2,363
23,"{0: 0.4, 1: 0.5, 2: 0.3, 3: 0.3, 4: 0.4, 5: 0.4, 6: 0.4, 7: 0.6, 8: 0.3, 9: 0.4}","{0: 0.24443217697054392, 1: 0.15230428675714, 2: 0.20676873516577243, 3: 0.210921221247663, 4: 0.2131767150249162, 5: 0.3452905785155476, 6: 0.28844164189743154, 7: 0.21632304848052256, 8: 0.3364350333979046, 9: 0.40782443574368843}","{0: False, 1: False, 2: False, 3: False, 4: False, 5: False, 6: False, 7: False, 8: True, 9: True}","{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.3, 9: 0.4}",0.7,361
24,"{0: 0.4, 1: 0.3, 2: 0.6, 3: 0.5, 4: 0.5, 5: 0.3, 6: 0.6, 7: 0.4, 8: 0.3, 9: 0.3}","{0: 0.21116893641179607, 1: 0.27887781077226736, 2: 0.3823871515809942, 3: 0.29961020054680715, 4: 0.37313672494114075, 5: 0.40562953591137935, 6: 0.33650338936709145, 7: 0.3958257248489888, 8: 0.2526907053547083, 9: 0.37948676999753056}","{0: False, 1: False, 2: False, 3: False, 4: False, 5: True, 6: False, 7: False, 8: False, 9: True}","{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.3, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.3}",0.6,359
25,"{0: 0.6, 1: 0.6, 2: 0.4, 3: 0.3, 4: 0.2, 5: 0.6, 6: 0.2, 7: 0.4, 8: 0.3, 9: 0.5}","{0: 0.24792735095327748, 1: 0.40917688136207503, 2: 0.27328905338143494, 3: 0.3400337040585907, 4: 0.38581276337171777, 5: 0.4685792050746923, 6: 0.3419622391763879, 7: 0.4891533404570812, 8: 0.44874661201428584, 9: 0.41639933252488226}","{0: False, 1: False, 2: False, 3: True, 4: True, 5: False, 6: True, 7: True, 8: True, 9: False}","{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.3, 4: 0.2, 5: 0.0, 6: 0.2, 7: 0.4, 8: 0.3, 9: 0.0}",1.4,354
26,"{0: 0.2, 1: 0.6, 2: 0.4, 3: 0.6, 4: 0.6, 5: 0.3, 6: 0.4, 7: 0.3, 8: 0.3, 9: 0.4}","{0: 0.4284371237492043, 1: 0.41172241394428716, 2: 0.4684724808834241, 3: 0.4689658156225312, 4: 0.5171564815598778, 5: 0.5678362668550638, 6: 0.6372796927679752, 7: 0.5193371958510614, 8: 0.7111287583569132, 9: 0.530121818479671}","{0: True, 1: False, 2: True, 3: False, 4: False, 5: True, 6: True, 7: True, 8: True, 9: True}","{0: 0.2, 1: 0.0, 2: 0.4, 3: 0.0, 4: 0.0, 5: 0.3, 6: 0.4, 7: 0.3, 8: 0.3, 9: 0.4}",2.3,347
27,"{0: 0.5, 1: 0.6, 2: 0.2, 3: 0.3, 4: 0.2, 5: 0.3, 6: 0.4, 7: 0.5, 8: 0.3, 9: 0.2}","{0: 0.5029252204155591, 1: 0.5138650290387113, 2: 0.4949865352215595, 3: 0.5420214742553549, 4: 0.5540836156009064, 5: 0.575571500047267, 6: 0.6738259183061582, 7: 0.6755026633139888, 8: 0.6493124848133331, 9: 0.7552440339086578}","{0: True, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True, 9: True}","{0: 0.5, 1: 0.0, 2: 0.2, 3: 0.3, 4: 0.2, 5: 0.3, 6: 0.4, 7: 0.5, 8: 0.3, 9: 0.2}",2.9,338
28,"{0: 0.2, 1: 0.4, 2: 0.2, 3: 0.2, 4: 0.6, 5: 0.6, 6: 0.2, 7: 0.2, 8: 0.2, 9: 0.6}","{0: 0.6070962624895611, 1: 0.6294042184519945, 2: 0.5879426456179111, 3: 0.6328529639623668, 4: 0.7296963160365791, 5: 0.7543197688602898, 6: 0.75422579569861, 7: 0.7926068643704574, 8: 0.88209335980264, 9: 0.8201011653796282}","{0: True, 1: True, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True, 9: True}","{0: 0.2, 1: 0.4, 2: 0.2, 3: 0.2, 4: 0.6, 5: 0.6, 6: 0.2, 7: 0.2, 8: 0.2, 9: 0.6}",3.4,328
29,"{0: 0.6, 1: 0.3, 2: 0.3, 3: 0.2, 4: 0.3, 5: 0.4, 6: 0.5, 7: 0.6, 8: 0.2, 9: 0.6}","{0: 0.6308293365222872, 1: 0.6656626294906199, 2: 0.7670932527593395, 3: 0.7890329481173805, 4: 0.8240453329760098, 5: 0.8842515120416933, 6: 0.8556354842736138, 7: 0.9242906612647231, 8: 0.9102873953783011, 9: 0.9776167713403949}","{0: True, 1: True, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True, 9: True}","{0: 0.6, 1: 0.3, 2: 0.3, 3: 0.2, 4: 0.3, 5: 0.4, 6: 0.5, 7: 0.6, 8: 0.2, 9: 0.6}",4.0,318
30,"{0: 0.5, 1: 0.4, 2: 0.3, 3: 0.6, 4: 0.2, 5: 0.3, 6: 0.2, 7: 0.4, 8: 0.2, 9: 0.6}","{0: 0.6698290122355736, 1: 0.7316803549236687, 2: 0.6979547591560348, 3: 0.8804284467678669, 4: 0.7624515035744941, 5: 0.7889862316759779, 6: 0.9445444956562534, 7: 0.9631653763452823, 8: 0.9917315221656285, 9: 1.0}","{0: True, 1: True, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True, 9: True}","{0: 0.5, 1: 0.4, 2: 0.3, 3: 0.6, 4: 0.2, 5: 0.3, 6: 0.2, 7: 0.4, 8: 0.2, 9: 0.6}",3.7,308
31,"{0: 0.2, 1: 0.6, 2: 0.5, 3: 0.5, 4: 0.3, 5: 0.6, 6: 0.3, 7: 0.4, 8: 0.4, 9: 0.5}","{0: 0.658985495726281, 1: 0.7467411207825128, 2: 0.748195485869475, 3: 0.8699122366882222, 4: 0.8529060595144816, 5: 0.858086747322217, 6: 0.922394993651447, 7: 0.9982135370201319, 8: 0.9884834152384059, 9: 1.0}","{0: True, 1: True, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True, 9: True}","{0: 0.2, 1: 0.6, 2: 0.5, 3: 0.5, 4: 0.3, 5: 0.6, 6: 0.3, 7: 0.4, 8: 0.4, 9: 0.5}",4.3,298
32,"{0: 0.4, 1: 0.4, 2: 0.2, 3: 0.2, 4: 0.4, 5: 0.4, 6: 0.6, 7: 0.2, 8: 0.2, 9: 0.6}","{0: 0.7413643701121596, 1: 0.7442753295413183, 2: 0.7865770197821099, 3: 0.8622378786840592, 4: 0.8187376114944624, 5: 0.861275086603652, 6: 0.9362325110130094, 7: 1.0, 8: 1.0, 9: 1.0}","{0: True, 1: True, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True, 9: True}","{0: 0.4, 1: 0.4, 2: 0.2, 3: 0.2, 4: 0.4, 5: 0.4, 6: 0.6, 7: 0.2, 8: 0.2, 9: 0.6}",3.6,288
33,"{0: 0.5, 1: 0.5, 2: 0.4, 3: 0.6, 4: 0.4, 5: 0.2, 6: 0.4, 7: 0.3, 8: 0.5, 9: 0.5}","{0: 0.7406413786630898, 1: 0.78927851171953, 2: 0.7816938708361775, 3: 0.8724856992218518, 4: 0.9005694410288677, 5: 0.9727293179451825, 6: 0.9568228597040652, 7: 1.0, 8: 1.0, 9: 1.0}","{0: True, 1: True, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True, 9: True}","{0: 0.5, 1: 0.5, 2: 0.4, 3: 0.6, 4: 0.4, 5: 0.2, 6: 0.4, 7: 0.3, 8: 0.5, 9: 0.5}",4.3,278
34,"{0: 0.5, 1: 0.6, 2: 0.5, 3: 0.2, 4: 0.5, 5: 0.3, 6: 0.5, 7: 0.4, 8: 0.6, 9: 0.2}","{0: 0.7401203252586395, 1: 0.7247528312828522, 2: 0.7952192081717251, 3: 0.8238449333243542, 4: 0.8672998474167661, 5: 0.8629662825006115, 6: 0.9420430096103922, 7: 1.0, 8: 1.0, 9: 1.0}","{0: True, 1: True, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True, 9: True}","{0: 0.5, 1: 0.6, 2: 0.5, 3: 0.2, 4: 0.5, 5: 0.3, 6: 0.5, 7: 0.4, 8: 0.6, 9: 0.2}",4.3,268
35,"{0: 0.4, 1: 0.4, 2: 0.2, 3: 0.4, 4: 0.3, 5: 0.2, 6: 0.2, 7: 0.2, 8: 0.6, 9: 0.5}","{0: 0.6943241578443122, 1: 0.817012653157455, 2: 0.8232688069410451, 3: 0.9642969386477175, 4: 0.8550969630517826, 5: 0.8942308705432077, 6: 0.9469524157127519, 7: 0.911432347102169, 8: 1.0, 9: 1.0}","{0: True, 1: True, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True, 9: True}","{0: 0.4, 1: 0.4, 2: 0.2, 3: 0.4, 4: 0.3, 5: 0.2, 6: 0.2, 7: 0.2, 8: 0.6, 9: 0.5}",3.4,258
36,"{0: 0.3, 1: 0.6, 2: 0.6, 3: 0.4, 4: 0.4, 5: 0.3, 6: 0.2, 7: 0.3, 8: 0.3, 9: 0.5}","{0: 0.6111948309814978, 1: 0.7209215203863586, 2: 0.7076401165677912, 3: 0.664279688108293, 4: 0.6812100835569197, 5: 0.7837327219325873, 6: 0.7261310492391543, 7: 0.9167215941158287, 8: 0.9171266080920996, 9: 0.8677017656837245}","{0: True, 1: True, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True, 9: True}","{0: 0.3, 1: 0.6, 2: 0.6, 3: 0.4, 4: 0.4, 5: 0.3, 6: 0.2, 7: 0.3, 8: 0.3, 9: 0.5}",3.9,248
37,"{0: 0.6, 1: 0.5, 2: 0.4, 3: 0.6, 4: 0.5, 5: 0.3, 6: 0.3, 7: 0.3, 8: 0.4, 9: 0.4}","{0: 0.5169680944037325, 1: 0.46850717652702323, 2: 0.5610846774825196, 3: 0.44443217203832047, 4: 0.5191444969245425, 5: 0.5743351261523325, 6: 0.6013816639488528, 7: 0.6014890537808459, 8: 0.6800945170663752, 9: 0.620530692074063}","{0: False, 1: False, 2: True, 3: False, 4: True, 5: True, 6: True, 7: True, 8: True, 9: True}","{0: 0.0, 1: 0.0, 2: 0.4, 3: 0.0, 4: 0.5, 5: 0.3, 6: 0.3, 7: 0.3, 8: 0.4, 9: 0.4}",2.6,241
38,"{0: 0.2, 1: 0.5, 2: 0.5, 3: 0.5, 4: 0.5, 5: 0.6, 6: 0.3, 7: 0.2, 8: 0.3, 9: 0.2}","{0: 0.4404262369253205, 1: 0.48426736678375887, 2: 0.5182601387263618, 3: 0.4505812599711197, 4: 0.4542416257673279, 5: 0.6189651451401303, 6: 0.5958309743852802, 7: 0.5659249166995689, 8: 0.7050408120446185, 9: 0.6574009147242312}","{0: True, 1: False, 2: True, 3: False, 4: False, 5: True, 6: True, 7: True, 8: True, 9: True}","{0: 0.2, 1: 0.0, 2: 0.5, 3: 0.0, 4: 0.0, 5: 0.6, 6: 0.3, 7: 0.2, 8: 0.3, 9: 0.2}",2.3,234
39,"{0: 0.3, 1: 0.2, 2: 0.4, 3: 0.4, 4: 0.3, 5: 0.3, 6: 0.5, 7: 0.4, 8: 0.6, 9: 0.3}","{0: 0.4104411766924815, 1: 0.5327173851228518, 2: 0.5400617672576892, 3: 0.46246125396835164, 4: 0.5461027451967996, 5: 0.5524077313851156, 6: 0.6111852480392521, 7: 0.5171222333904059, 8: 0.6222857156761096, 9: 0.6635191032754434}","{0: True, 1: True, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True, 9: True}","{0: 0.3, 1: 0.2, 2: 0.4, 3: 0.4, 4: 0.3, 5: 0.3, 6: 0.5, 7: 0.4, 8: 0.6, 9: 0.3}",3.7,224
